1-·ÉÐÐÊ±¼ät		2-acc_x		3-acc_y		4-acc_z		5-gyro_x		6-gyro_y		7-gyro_z		
55.340000000		0.000592970		-0.001551209		0.002171890		0.000025202		0.000009393		0.000015250		
55.350000000		0.000908502		-0.001540261		0.002217445		0.000024941		0.000009115		0.000015010		
55.360000000		0.000872417		-0.001340326		0.002280120		0.000024088		0.000009460		0.000015722		
55.370000000		0.000906466		-0.001314075		0.002236238		0.000025215		0.000008982		0.000015761		
55.380000000		0.000877635		-0.001365002		0.002322202		0.000024533		0.000008976		0.000015370		
55.390000000		0.001028855		-0.001408996		0.002455393		0.000024100		0.000009756		0.000014839		
55.400000000		0.000848431		-0.001377539		0.002386072		0.000024372		0.000009170		0.000014984		
55.410000000		0.000768169		-0.001429209		0.002202141		0.000024627		0.000008657		0.000015002		
55.420000000		0.000907040		-0.001248404		0.002303759		0.000022793		0.000008125		0.000015523		
55.430000000		0.000824268		-0.001437919		0.002321643		0.000024901		0.000008621		0.000015162		
55.440000000		0.000996754		-0.001381333		0.002444370		0.000024259		0.000009970		0.000015131		
55.450000000		0.000918544		-0.001305155		0.002195263		0.000024238		0.000009249		0.000014708		
55.460000000		0.000970568		-0.001289325		0.002234334		0.000023642		0.000010356		0.000015480		
55.470000000		0.000880116		-0.001150257		0.002079500		0.000024157		0.000009017		0.000015567		
55.480000000		0.000901702		-0.001224062		0.002266103		0.000023897		0.000009804		0.000014809		
55.490000000		0.000983703		-0.001293997		0.002255931		0.000024145		0.000009911		0.000016004		
55.500000000		0.000997846		-0.001015677		0.002341322		0.000022893		0.000010206		0.000014565		
55.510000000		0.000840713		-0.001171058		0.002383275		0.000023243		0.000010849		0.000015145		
55.520000000		0.000801827		-0.001230377		0.002388660		0.000024188		0.000009865		0.000015466		
55.530000000		0.000875415		-0.001238521		0.002210349		0.000023152		0.000009530		0.000015599		
55.540000000		0.000942219		-0.001279539		0.002302241		0.000025330		0.000009766		0.000014814		
55.550000000		0.000882816		-0.001428288		0.002409752		0.000024726		0.000010250		0.000014352		
55.560000000		0.000745094		-0.001399618		0.002050723		0.000024050		0.000010135		0.000015979		
55.570000000		0.000957293		-0.001357518		0.002097118		0.000024428		0.000010239		0.000015334		
55.580000000		0.000777284		-0.001354936		0.002024394		0.000023837		0.000009792		0.000015596		
55.590000000		0.000835570		-0.001222113		0.002260354		0.000023673		0.000010214		0.000015033		
55.600000000		0.000731821		-0.001225928		0.002174110		0.000023225		0.000009964		0.000015111		
55.610000000		0.000701012		-0.001243643		0.002173647		0.000024074		0.000010344		0.000015141		
55.620000000		0.000623398		-0.001255927		0.002098683		0.000023941		0.000010664		0.000014551		
55.630000000		0.000901576		-0.001321754		0.002220094		0.000025091		0.000010898		0.000014967		
55.640000000		0.000817601		-0.001244368		0.002245475		0.000024157		0.000009764		0.000016201		
55.650000000		0.000688976		-0.001342314		0.002161622		0.000024480		0.000009270		0.000015320		
55.660000000		0.000851053		-0.001376183		0.002010206		0.000023446		0.000009387		0.000013401		
55.670000000		0.000858666		-0.001321887		0.002118772		0.000023829		0.000009299		0.000015311		
55.680000000		0.000744428		-0.001413831		0.001786036		0.000023677		0.000010111		0.000015579		
55.690000000		0.000853967		-0.001094653		0.001794296		0.000024004		0.000009929		0.000015605		
55.700000000		0.001013854		-0.001033029		0.002071342		0.000025427		0.000009892		0.000014184		
55.710000000		0.000766903		-0.001182961		0.002191718		0.000024172		0.000010878		0.000015979		
55.720000000		0.001057508		-0.001004086		0.002175822		0.000023581		0.000009604		0.000015475		
55.730000000		0.001065853		-0.001091669		0.002315911		0.000025511		0.000010617		0.000015421		
55.740000000		0.000929304		-0.000981939		0.002136671		0.000023989		0.000009291		0.000015079		
55.750000000		0.000860940		-0.001098781		0.002079936		0.000025040		0.000008917		0.000015374		
55.760000000		0.000807846		-0.001137788		0.002048624		0.000024263		0.000008830		0.000015794		
55.770000000		0.001022540		-0.001067927		0.002052015		0.000024034		0.000009136		0.000015773		
55.780000000		0.001031759		-0.001144759		0.001966248		0.000025602		0.000009386		0.000015223		
55.790000000		0.001116001		-0.001108392		0.002158914		0.000026056		0.000009375		0.000015262		
55.800000000		0.001128484		-0.001149066		0.002088628		0.000025152		0.000010194		0.000016166		
55.810000000		0.000962677		-0.000972431		0.002221805		0.000024145		0.000010645		0.000016170		
55.820000000		0.001122551		-0.001224077		0.002184221		0.000025501		0.000009237		0.000016158		
55.830000000		0.001128122		-0.001353888		0.002413428		0.000025270		0.000009802		0.000015634		
55.840000000		0.001137420		-0.001327779		0.002122837		0.000024293		0.000009796		0.000016677		
55.850000000		0.000967373		-0.001328978		0.002051537		0.000025706		0.000009985		0.000015851		
55.860000000		0.000901679		-0.001311094		0.002105683		0.000024508		0.000009494		0.000015766		
55.870000000		0.001026143		-0.001460560		0.002020645		0.000025502		0.000010932		0.000015623		
55.880000000		0.000980625		-0.001198122		0.002038909		0.000024999		0.000010091		0.000015624		
55.890000000		0.000976898		-0.001370033		0.002027877		0.000026010		0.000009724		0.000017192		
55.900000000		0.001182600		-0.001266433		0.002045465		0.000025186		0.000009403		0.000017400		
55.910000000		0.000874446		-0.001530546		0.002168101		0.000024947		0.000010107		0.000017203		
55.920000000		0.000740633		-0.001448122		0.002183577		0.000024871		0.000010151		0.000017288		
55.930000000		0.000905544		-0.001306592		0.002139983		0.000025177		0.000008578		0.000016399		
55.940000000		0.000965537		-0.001243296		0.002105231		0.000024887		0.000009215		0.000016092		
55.950000000		0.001055611		-0.001483405		0.002023325		0.000025104		0.000009412		0.000016709		
55.960000000		0.000870928		-0.001286770		0.001887156		0.000026201		0.000008715		0.000016549		
55.970000000		0.000963439		-0.001377851		0.002045290		0.000025420		0.000009459		0.000016216		
55.980000000		0.000990778		-0.001434751		0.002007376		0.000025489		0.000008435		0.000016575		
55.990000000		0.001062657		-0.001407219		0.002244527		0.000025568		0.000008981		0.000017059		
56.000000000		0.001052666		-0.001340482		0.002049516		0.000025375		0.000009332		0.000017264		
56.010000000		0.000940253		-0.001567944		0.002022804		0.000025530		0.000008740		0.000016618		
56.020000000		0.000901030		-0.001372352		0.001970901		0.000025189		0.000009397		0.000016826		
56.030000000		0.000874478		-0.001411621		0.002026013		0.000026002		0.000008868		0.000016819		
56.040000000		0.000844796		-0.001284103		0.001944151		0.000025739		0.000008157		0.000015839		
56.050000000		0.000830963		-0.001330521		0.002117791		0.000026225		0.000007970		0.000015825		
56.060000000		0.000797899		-0.001357763		0.001938710		0.000025486		0.000007631		0.000016354		
56.070000000		0.000787000		-0.001325728		0.002131415		0.000026457		0.000009278		0.000016403		
56.080000000		0.000851461		-0.001320840		0.002061815		0.000025979		0.000008931		0.000017143		
56.090000000		0.000729080		-0.001125800		0.001927921		0.000026030		0.000008786		0.000015775		
56.100000000		0.000910140		-0.001188594		0.002029832		0.000025617		0.000008741		0.000016417		
56.110000000		0.000744091		-0.001348881		0.002138523		0.000025410		0.000008758		0.000016692		
56.120000000		0.000800884		-0.001201176		0.002132388		0.000025968		0.000008509		0.000016759		
56.130000000		0.000550540		-0.001422143		0.002063805		0.000026110		0.000008280		0.000016546		
56.140000000		0.000751100		-0.001378064		0.001991282		0.000025262		0.000008073		0.000017636		
56.150000000		0.000481854		-0.001173696		0.001990807		0.000024870		0.000008891		0.000016377		
56.160000000		0.000502837		-0.001302780		0.002139569		0.000026189		0.000008881		0.000016813		
56.170000000		0.000608187		-0.001495639		0.002054240		0.000026123		0.000009037		0.000017333		
56.180000000		0.000793708		-0.001270599		0.001955502		0.000026254		0.000009406		0.000016554		
56.190000000		0.000713930		-0.001500081		0.002174995		0.000025449		0.000008649		0.000016648		
56.200000000		0.000657717		-0.001299882		0.001985253		0.000025899		0.000008190		0.000017134		
56.210000000		0.000871869		-0.001391909		0.002082940		0.000025330		0.000008441		0.000016212		
56.220000000		0.000668054		-0.001272274		0.002057765		0.000025985		0.000008290		0.000017228		
56.230000000		0.000495020		-0.001217298		0.002027776		0.000025339		0.000008552		0.000015926		
56.240000000		0.000493401		-0.001470691		0.002016591		0.000025934		0.000008673		0.000016879		
56.250000000		0.000439829		-0.001084206		0.002049963		0.000025580		0.000009411		0.000016292		
56.260000000		0.000773074		-0.001452218		0.001869730		0.000026571		0.000008346		0.000016643		
56.270000000		0.000533331		-0.001270756		0.001928737		0.000026684		0.000009863		0.000015671		
56.280000000		0.000649696		-0.001106676		0.001978075		0.000026386		0.000008942		0.000016647		
56.290000000		0.000657131		-0.001316377		0.001985181		0.000026042		0.000009277		0.000016409		
56.300000000		0.000684012		-0.001243336		0.001988574		0.000026094		0.000010085		0.000016274		
56.310000000		0.000885988		-0.001343442		0.002009328		0.000025914		0.000008996		0.000016041		
56.320000000		0.000600674		-0.001246476		0.002000336		0.000025742		0.000009796		0.000016490		
56.330000000		0.000635774		-0.001218443		0.001854679		0.000026126		0.000009780		0.000017157		
56.340000000		0.000733987		-0.001345885		0.001837985		0.000026069		0.000009857		0.000016978		
56.350000000		0.000632957		-0.001471256		0.001809124		0.000026093		0.000008550		0.000016929		
56.360000000		0.000626059		-0.001492324		0.002054326		0.000025073		0.000009735		0.000016936		
56.370000000		0.000821719		-0.001393693		0.002127368		0.000024917		0.000009704		0.000017363		
56.380000000		0.000880767		-0.001414107		0.002008827		0.000025799		0.000009434		0.000017637		
56.390000000		0.000895206		-0.001708079		0.002014779		0.000025152		0.000009597		0.000017867		
56.400000000		0.000677015		-0.001411042		0.002027314		0.000025027		0.000010919		0.000017616		
56.410000000		0.000771343		-0.001447570		0.002148555		0.000025045		0.000009572		0.000017932		
56.420000000		0.000585044		-0.001381197		0.001703964		0.000025397		0.000009716		0.000018083		
56.430000000		0.000647615		-0.001383717		0.001974746		0.000025551		0.000010706		0.000017808		
56.440000000		0.000601913		-0.001287555		0.001941481		0.000025665		0.000010646		0.000018372		
56.450000000		0.000744937		-0.001456132		0.001738736		0.000025188		0.000010668		0.000018842		
56.460000000		0.000484291		-0.001287871		0.002058782		0.000025425		0.000011348		0.000018191		
56.470000000		0.000796991		-0.001306427		0.001838002		0.000025759		0.000010274		0.000017573		
56.480000000		0.000615692		-0.001250253		0.001798887		0.000025796		0.000010438		0.000018024		
56.490000000		0.000686213		-0.001498670		0.001855816		0.000026200		0.000011555		0.000017778		
56.500000000		0.000868723		-0.001307730		0.001791535		0.000025452		0.000011780		0.000017323		
56.510000000		0.000915238		-0.001396546		0.001813052		0.000026285		0.000010743		0.000017479		
56.520000000		0.001018880		-0.001404844		0.001927275		0.000026101		0.000010907		0.000017476		
56.530000000		0.000814649		-0.001379632		0.002143803		0.000025686		0.000010826		0.000016566		
56.540000000		0.000957224		-0.001203284		0.001770298		0.000025394		0.000011118		0.000017646		
56.550000000		0.000999609		-0.001322083		0.001975212		0.000026236		0.000011411		0.000017920		
56.560000000		0.001003510		-0.001513445		0.001813795		0.000025700		0.000012010		0.000016914		
56.570000000		0.000909280		-0.001435210		0.001836073		0.000026519		0.000012547		0.000017766		
56.580000000		0.000703064		-0.001241272		0.001922549		0.000024880		0.000011877		0.000017707		
56.590000000		0.000750502		-0.001173398		0.001856687		0.000026452		0.000011153		0.000018153		
56.600000000		0.000834055		-0.001213880		0.001582005		0.000026397		0.000011444		0.000017646		
56.610000000		0.000586288		-0.001253243		0.002042077		0.000026061		0.000011415		0.000018932		
56.620000000		0.000738824		-0.001149599		0.001741358		0.000026115		0.000012595		0.000016639		
56.630000000		0.000859464		-0.001143616		0.001723948		0.000027830		0.000011303		0.000017445		
56.640000000		0.000742572		-0.001242884		0.001804140		0.000025152		0.000011969		0.000017692		
56.650000000		0.000598705		-0.001177862		0.001617596		0.000025299		0.000011860		0.000017215		
56.660000000		0.000751233		-0.001169793		0.001679757		0.000026980		0.000010679		0.000018523		
56.670000000		0.000652099		-0.001072021		0.001732989		0.000027326		0.000011713		0.000018565		
56.680000000		0.000835242		-0.001281693		0.001629384		0.000026215		0.000011349		0.000017395		
56.690000000		0.000739261		-0.001402668		0.001646810		0.000026862		0.000011684		0.000017882		
56.700000000		0.000819001		-0.001526765		0.001811532		0.000027071		0.000012865		0.000017866		
56.710000000		0.000714210		-0.001269281		0.001691622		0.000026339		0.000012638		0.000017639		
56.720000000		0.000774648		-0.001299442		0.001466719		0.000026713		0.000012103		0.000016914		
56.730000000		0.000716198		-0.001296347		0.001670782		0.000025932		0.000012629		0.000016981		
56.740000000		0.000668592		-0.001581105		0.001470886		0.000026729		0.000011455		0.000016954		
56.750000000		0.000925101		-0.001227998		0.001419287		0.000025937		0.000011901		0.000018303		
56.760000000		0.000691724		-0.001156942		0.001465718		0.000025715		0.000013475		0.000017239		
56.770000000		0.000791930		-0.001210814		0.001633940		0.000026302		0.000012012		0.000017434		
56.780000000		0.000643903		-0.001211478		0.001622522		0.000026747		0.000012238		0.000017320		
