1-time		2-纬度L		3-经度λ		4-高度h		5-velocity_x		6-velocity_y		7-velocity_z		
2.880000000		0.524143594		1.745330555		1000.773371137		1200.105033312		0.064180917		0.013147247		
2.890000000		0.524140981		1.745330898		983.191929479		1199.944622266		0.029097611		-0.009202925		
2.900000000		0.524148254		1.745328879		1033.005207716		1199.880466468		0.071963505		0.107978581		
2.910000000		0.524151735		1.745331327		1004.678153614		1200.173056784		0.030637681		-0.114432041		
2.920000000		0.524147575		1.745329989		1011.584693437		1199.998228800		0.100512655		0.015354605		
2.930000000		0.524150025		1.745324994		997.886007780		1200.091741106		0.068639699		-0.029735144		
2.940000000		0.524151001		1.745331580		995.845111257		1200.023301252		-0.128655433		0.020466697		
2.950000000		0.524159082		1.745326215		986.891832540		1199.887916894		0.087816759		0.058939693		
2.960000000		0.524156779		1.745327064		996.167610813		1200.037199566		-0.025801489		0.011499613		
2.970000000		0.524159819		1.745327587		984.991923973		1199.889171405		0.060664984		0.105198377		
2.980000000		0.524157662		1.745326747		1014.616063590		1199.983637763		0.102829860		-0.029865939		
2.990000000		0.524161263		1.745328905		997.766986353		1200.118777429		0.007804307		-0.184129031		
3.000000000		0.524165608		1.745332983		986.835074388		1200.093102984		-0.179813108		0.157637971		
3.010000000		0.524166205		1.745328010		997.984937269		1200.022686407		0.162477781		-0.047371123		
3.020000000		0.524167629		1.745328142		1013.729214395		1200.058704978		0.185893579		0.051245846		
3.030000000		0.524171728		1.745329736		1010.203220087		1199.930621696		0.030778483		0.068628785		
3.040000000		0.524174652		1.745329934		1008.990370454		1200.035830992		0.077713528		-0.089979082		
